MB214 Q0 305848278581387265 1 10.295075 2013-2014-baseline# TResult(id:305848278581387265, rsv:10.295075416564941, screen_name:cincottapeter, epoch:1361754886, text:@gallit_z Common Core is a U.S. thing.  Common standards for math and english/language arts.  We are in the middle of the transition now., followers_count:254, statuses_count:1465, lang:null, in_reply_to_status_id:305847516530884609, in_reply_to_user_id:183925841, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 314947628200763392 12 9.621241 2013-2014-baseline# TResult(id:314947628200763392, rsv:9.621240615844727, screen_name:coopmike48, epoch:1363924340, text:Big Education Ape: Missouri Education Watchdog: Fuzzy Math Coming Home to Roost in Common Core State (sic) Standards? http://t.co/jp8XuWHRB9, followers_count:5015, statuses_count:285220, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 304817792627118080 13 9.621241 2013-2014-baseline# TResult(id:304817792627118080, rsv:9.621240615844727, screen_name:kteach318, epoch:1361509199, text:This chart is great for math journals and is aligned with the Common Core.  You may want to make a p http://t.co/m66ePoYkBQ, followers_count:87, statuses_count:62, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 302423419650183168 14 9.621241 2013-2014-baseline# TResult(id:302423419650183168, rsv:9.621240615844727, screen_name:HoosiersNoCore, epoch:1360938336, text:Common Core is state-led? See anyone form your state on this list of math teams? I didn't. http://t.co/8A6gdarv, followers_count:70, statuses_count:95, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 312010835256020992 15 9.606428 2013-2014-baseline# TResult(id:312010835256020992, rsv:9.606428146362305, screen_name:Kristacks, epoch:1363224154, text:I have joined a Common Core community on Edmodo.  I am an A.P. at a 3rd through 5th gr school. Interested in math and literacy. #aisinetwork, followers_count:30, statuses_count:12, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 307541259076108290 16 9.606428 2013-2014-baseline# TResult(id:307541259076108290, rsv:9.606428146362305, screen_name:RyanMaxwellEdM, epoch:1362158524, text:High praise from a teacher to Jennifer and Sara of ANSER: "we should have a common core primary math inst. &amp; you should teach it!" #ELNC13, followers_count:35, statuses_count:131, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 306877162345082880 17 8.575638 2013-2014-baseline# TResult(id:306877162345082880, rsv:8.575637817382812, screen_name:conservative72, epoch:1362000191, text:@time4_honesty except common core. Common Core moved that fast..., followers_count:702, statuses_count:7176, lang:null, in_reply_to_status_id:306867139409768448, in_reply_to_user_id:868749343, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 304409552642768897 18 8.571748 2013-2014-baseline# TResult(id:304409552642768897, rsv:8.571747779846191, screen_name:HaveFunTeaching, epoch:1361411867, text:This RI.K.5 Kindergarten Common Core Pack includes the following:*2 RI.K.5 Common Core Worksheets*1  http://t.co/6laMTLGty6, followers_count:476, statuses_count:12035, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 313610161099001856 19 8.565770 2013-2014-baseline# TResult(id:313610161099001856, rsv:8.565770149230957, screen_name:cities929, epoch:1363605463, text:'Common Core Curriculum' confirmed being taught at El Paso -Gridley . Go to @theblaze to learn more about the dangers of Common Core, followers_count:193, statuses_count:5262, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 312109225235079168 20 8.565770 2013-2014-baseline# TResult(id:312109225235079168, rsv:8.565770149230957, screen_name:OrangeCal, epoch:1363247612, text:Common Core transition in full force in Orange - OCRegister: Common Core transition in full forc... http://t.co/Q6dHNACSIZ #orangecounty, followers_count:11, statuses_count:1173, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 308900079341805568 21 8.565770 2013-2014-baseline# TResult(id:308900079341805568, rsv:8.565770149230957, screen_name:Cantiague_Lead, epoch:1362482492, text:HONORED==&gt; “@PeterMDeWitt: Guest post by @Cantiague_Lead Common Core Standards NOT Common Core Curriculum #edchat http://t.co/BRB8B05kOk”, followers_count:776, statuses_count:7729, lang:null, in_reply_to_status_id:308899398925025281, in_reply_to_user_id:339289291, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 301095654011314176 22 8.565770 2013-2014-baseline# TResult(id:301095654011314176, rsv:8.565770149230957, screen_name:dprindle, epoch:1360621772, text:Q: Why are you using Common Core or why are you not using Common Core? Just wondering.  #stirringthepot, followers_count:380, statuses_count:16824, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 309070242250883072 23 8.565770 2013-2014-baseline# TResult(id:309070242250883072, rsv:8.565770149230957, screen_name:rrhake, epoch:1362523062, text:Contentious Common Core Controversy #2 http://t.co/NSKJNukHG4 ---&gt; Tom Newkirk's "Speaking Back to the Common Core" http://t.co/PBkPtBX6NU, followers_count:254, statuses_count:196, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 314719072166244354 24 7.897913 2013-2014-baseline# TResult(id:314719072166244354, rsv:7.897912979125977, screen_name:mktg4Christ, epoch:1363869848, text:#News Common Core Supporter:  Schools Should Have National Curriculum: The founder of Core Knowledge Foundatio... http://t.co/w2H0oAwQ8d, followers_count:1752, statuses_count:9949, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 304616713503260673 25 7.896580 2013-2014-baseline# TResult(id:304616713503260673, rsv:7.896580219268799, screen_name:franmcveigh, epoch:1361461258, text:"Common Sense" and the Common Core http://t.co/EXnsM0hnWH, followers_count:783, statuses_count:4419, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 304702071800737792 26 7.888106 2013-2014-baseline# TResult(id:304702071800737792, rsv:7.888106346130371, screen_name:TESOL_Assn, epoch:1361481609, text:Common Core: UCLA Report Highlights Potential, Challenges of New Assessments - EdMedia Commons http://t.co/KZ1fKXzvxI #edreform #CCSS, followers_count:7059, statuses_count:4720, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 312595219243741185 27 7.888106 2013-2014-baseline# TResult(id:312595219243741185, rsv:7.888106346130371, screen_name:BurbankSherry, epoch:1363363482, text:#nhasea13 Common Sense &amp; Common Core: Improved Outcomes for Students with Disabilities, Carol Kosnitsky, followers_count:61, statuses_count:199, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 310340692775956480 28 7.882129 2013-2014-baseline# TResult(id:310340692775956480, rsv:7.882128715515137, screen_name:EducatorsRoom, epoch:1362825961, text:Common Core Should Share Common Language - [caption id="attachment_2357" align="alignleft"... http://t.co/PeIaLpe9l4  #theedroom #edchat, followers_count:1295, statuses_count:15399, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 305740350788616194 29 7.690703 2013-2014-baseline# TResult(id:305740350788616194, rsv:7.69070291519165, screen_name:TamilsaA, epoch:1361729154, text:Are you mad? Who is doing core math with you odes! I did my ig's last year and it was extended"@TimiAdeg: @me @lumsyonakoya Lol core math, followers_count:554, statuses_count:73649, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 301397899751874560 30 7.227724 2013-2014-baseline# TResult(id:301397899751874560, rsv:7.227723598480225, screen_name:J_Loetzerich, epoch:1360693833, text:Common Core Resources   http://t.co/hEdcppSh, followers_count:1557, statuses_count:5867, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 316192929628708865 31 7.227724 2013-2014-baseline# TResult(id:316192929628708865, rsv:7.227723598480225, screen_name:fosterdickson, epoch:1364221243, text:The Common Core http://t.co/h1goOZ99up, followers_count:202, statuses_count:847, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 306118865719533568 32 7.226746 2013-2014-baseline# TResult(id:306118865719533568, rsv:7.22674560546875, screen_name:AdamsMath, epoch:1361819399, text:Common Core GPS Mathematics http://t.co/G1kLHhwfeR, followers_count:380, statuses_count:860, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 307519868142497793 33 7.226746 2013-2014-baseline# TResult(id:307519868142497793, rsv:7.22674560546875, screen_name:hayleeee96, epoch:1362153424, text:Fuck this common core bullshit, followers_count:470, statuses_count:8786, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 297227180310675456 34 7.226746 2013-2014-baseline# TResult(id:297227180310675456, rsv:7.22674560546875, screen_name:Montberte, epoch:1359699456, text:Common Core Spurs Changes  http://t.co/1IZAOA4W, followers_count:63863, statuses_count:33592, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 308981973127413761 35 7.225240 2013-2014-baseline# TResult(id:308981973127413761, rsv:7.225240230560303, screen_name:BethAnnRandazzo, epoch:1362502017, text:Common Core | @scoopit http://t.co/QOBIsrwtkX, followers_count:61, statuses_count:118, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 313975615009193984 36 7.225240 2013-2014-baseline# TResult(id:313975615009193984, rsv:7.225240230560303, screen_name:ccshowme, epoch:1363692594, text:Common Core as Trojan Horse http://t.co/lACRrDxSmi, followers_count:2006, statuses_count:19350, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 312563250237689856 37 7.225240 2013-2014-baseline# TResult(id:312563250237689856, rsv:7.225240230560303, screen_name:Barbhed, epoch:1363355860, text:Glenn Beck Outs the Common Core http://t.co/Cb2u7yUtRl, followers_count:261, statuses_count:497, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 315522721775775744 38 7.225240 2013-2014-baseline# TResult(id:315522721775775744, rsv:7.225240230560303, screen_name:pmnphxaz, epoch:1364061453, text:Common Core is right path http://t.co/B8z03kaf3a, followers_count:1288, statuses_count:38977, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 314167273743069187 39 7.225240 2013-2014-baseline# TResult(id:314167273743069187, rsv:7.225240230560303, screen_name:jcwastler, epoch:1363738289, text:Currently discussing Common Core on #mdedchat, followers_count:285, statuses_count:472, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 302245337899364352 40 7.225240 2013-2014-baseline# TResult(id:302245337899364352, rsv:7.225240230560303, screen_name:1350kman, epoch:1360895878, text:New Common Core Standards - http://t.co/mwgUYeNl, followers_count:164, statuses_count:7121, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 315997164696375296 41 7.225240 2013-2014-baseline# TResult(id:315997164696375296, rsv:7.225240230560303, screen_name:gingerdr, epoch:1364174569, text:#Cscope &amp; Common Core http://t.co/JRVdnwvBhV, followers_count:1956, statuses_count:14650, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 300204943242043392 42 7.225240 2013-2014-baseline# TResult(id:300204943242043392, rsv:7.225240230560303, screen_name:Cathymgm, epoch:1360409410, text:Common Core and Print http://t.co/Gz3ov9T5 via @zite, followers_count:202, statuses_count:3214, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 303733405651197952 43 7.222746 2013-2014-baseline# TResult(id:303733405651197952, rsv:7.222745895385742, screen_name:pnp24hr, epoch:1361250661, text:FREE Common Core Planning Sheet for ALL Grade Levels http://t.co/Nte1ZUOC, followers_count:2001, statuses_count:11892, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 297596505559273472 44 7.222746 2013-2014-baseline# TResult(id:297596505559273472, rsv:7.222745895385742, screen_name:brandondutcher, epoch:1359787510, text:Common Core hits home (schoolers) http://t.co/jljTjl9v, followers_count:191, statuses_count:10792, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 312201231500206080 45 7.222746 2013-2014-baseline# TResult(id:312201231500206080, rsv:7.222745895385742, screen_name:JimHumbert, epoch:1363269548, text:Common Core State Standards Initiative | Home http://t.co/ODB7mm0r9B, followers_count:1005, statuses_count:31697, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 308059545043873792 46 7.222746 2013-2014-baseline# TResult(id:308059545043873792, rsv:7.222745895385742, screen_name:palamping, epoch:1362282093, text:Alaska, Texas Reject Common Core Standards - http://t.co/3wsi0KCglg, followers_count:68, statuses_count:847, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 299232212816101376 47 7.222746 2013-2014-baseline# TResult(id:299232212816101376, rsv:7.222745895385742, screen_name:BrainHive, epoch:1360177493, text:How education will adjust to the common core http://t.co/gmEnyPIE, followers_count:595, statuses_count:279, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 301754562379923457 48 7.222746 2013-2014-baseline# TResult(id:301754562379923457, rsv:7.222745895385742, screen_name:DianeRavitch, epoch:1360778868, text:Big Business Supports the Common Core http://t.co/684QX7tX via @DianeRavitch, followers_count:1145, statuses_count:40646, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 302833597453332480 49 7.222746 2013-2014-baseline# TResult(id:302833597453332480, rsv:7.222745895385742, screen_name:sjcprof, epoch:1361036130, text:Big Business Supports the Common Core http://t.co/SGtLwApe via @DianeRavitch, followers_count:56, statuses_count:276, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 300958106014339072 50 7.222746 2013-2014-baseline# TResult(id:300958106014339072, rsv:7.222745895385742, screen_name:MelroseCurricul, epoch:1360588978, text:How education will adjust to the common core http://t.co/twUOOJyF, followers_count:63, statuses_count:165, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 303599846441508864 51 7.222746 2013-2014-baseline# TResult(id:303599846441508864, rsv:7.222745895385742, screen_name:azjd, epoch:1361218818, text:Student-Driven Common Core Classrooms http://t.co/gtCJUi56 #edchat #cpchat, followers_count:1001, statuses_count:10095, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 299673373905137664 52 7.222746 2013-2014-baseline# TResult(id:299673373905137664, rsv:7.222745895385742, screen_name:ShawnaCoppola, epoch:1360282674, text:Tom Newkirk on the Common Core: http://t.co/Yshm9JFN, followers_count:73, statuses_count:104, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 308599242920980480 53 7.222746 2013-2014-baseline# TResult(id:308599242920980480, rsv:7.222745895385742, screen_name:ArunKrGhosh, epoch:1362410767, text:Principal: 'I was na ve about Common Core' http://t.co/bd5VzeQTEn, followers_count:1707, statuses_count:36928, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 307076333043863553 54 7.222746 2013-2014-baseline# TResult(id:307076333043863553, rsv:7.222745895385742, screen_name:danajlane, epoch:1362047677, text:Great educational technology resource for common core.  http://t.co/1zXxiJFtu5, followers_count:244, statuses_count:391, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 297335569539801088 55 7.222746 2013-2014-baseline# TResult(id:297335569539801088, rsv:7.222745895385742, screen_name:JLNetworkTeam, epoch:1359725298, text:Understanding the Skills in the Common Core State Standards http://t.co/dpW4oP3W, followers_count:74, statuses_count:93, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 310026497433935873 56 7.222746 2013-2014-baseline# TResult(id:310026497433935873, rsv:7.222745895385742, screen_name:atomic_learning, epoch:1362751051, text:Problems Fostering Creativity With the Common Core Implementation? http://t.co/5asNsEvTVe, followers_count:747, statuses_count:1615, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 315529650778537986 57 7.222746 2013-2014-baseline# TResult(id:315529650778537986, rsv:7.222745895385742, screen_name:mrs_hollymurphy, epoch:1364063105, text:Common Core Standards? Sucks. Enough said., followers_count:239, statuses_count:324, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 312626546496139264 58 7.222746 2013-2014-baseline# TResult(id:312626546496139264, rsv:7.222745895385742, screen_name:varnergreg, epoch:1363370951, text:Is Common Core an evidence-based policy? http://t.co/AkaShaT5Pl #alpolitics, followers_count:553, statuses_count:4943, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 310823448748359680 59 7.222746 2013-2014-baseline# TResult(id:310823448748359680, rsv:7.222745895385742, screen_name:RayBeckerman, epoch:1362941059, text:A Teacher Questions the Common Core Standards #DianeRavitch #educ http://t.co/syaGQXQkqz, followers_count:12201, statuses_count:370928, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 298551586333028353 60 7.222746 2013-2014-baseline# TResult(id:298551586333028353, rsv:7.222745895385742, screen_name:TheLetterPeople, epoch:1360015219, text:Librarians can help students succeed under the Common Core http://t.co/MoyyGQIZ, followers_count:1525, statuses_count:1766, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 302465463370264576 61 7.222746 2013-2014-baseline# TResult(id:302465463370264576, rsv:7.222745895385742, screen_name:design2perform, epoch:1360948360, text:http://t.co/x6O3ElQR 24 Multimedia Tools That Support The Common Core, followers_count:602, statuses_count:2806, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 308728687501651969 62 7.222746 2013-2014-baseline# TResult(id:308728687501651969, rsv:7.222745895385742, screen_name:ThoughtfulWomen, epoch:1362441629, text:Indiana Among States Acting to Oppose Common Core Standards http://t.co/NTS76Eol8F, followers_count:313, statuses_count:2100, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 312690153103687680 63 7.222746 2013-2014-baseline# TResult(id:312690153103687680, rsv:7.222745895385742, screen_name:Idaho4LocalEd, epoch:1363386116, text:Our latest: Glenn Beck Outs The Common Core http://t.co/kTrcFANw9p, followers_count:29, statuses_count:51, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 313880064578170880 64 7.222746 2013-2014-baseline# TResult(id:313880064578170880, rsv:7.222745895385742, screen_name:NancyLankford1, epoch:1363669813, text:A Teacher Questions the Common Core Standards http://t.co/ZsBLLgMHiU, followers_count:175, statuses_count:1889, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 301865791131893760 65 7.222746 2013-2014-baseline# TResult(id:301865791131893760, rsv:7.222745895385742, screen_name:cjnkira, epoch:1360805387, text:Former education commissioner blasts Common Core process http://t.co/BcgfTkrg, followers_count:760, statuses_count:13475, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 306927191990607872 66 7.222746 2013-2014-baseline# TResult(id:306927191990607872, rsv:7.222745895385742, screen_name:gbdsacmath, epoch:1362012119, text:How ready are teachers for the common core?  http://t.co/yN2BeXRmQr, followers_count:80, statuses_count:275, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 314103574831431680 67 7.222746 2013-2014-baseline# TResult(id:314103574831431680, rsv:7.222745895385742, screen_name:ChaoticSimmer, epoch:1363723102, text:Common Core: Dumbing Down of School: http://t.co/JaClte2b62, followers_count:243, statuses_count:102, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 310767719047892992 68 7.222746 2013-2014-baseline# TResult(id:310767719047892992, rsv:7.222745895385742, screen_name:CHRasco, epoch:1362927772, text:A very thoughtful piece on Common Core: http://t.co/sqwLxD5cVf, followers_count:674, statuses_count:12606, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 302542978294104064 69 7.222746 2013-2014-baseline# TResult(id:302542978294104064, rsv:7.222745895385742, screen_name:DianeRavitch, epoch:1360966841, text:Goldenberg: Why You Should Oppose the Common Core http://t.co/sSeCcqrn, followers_count:1146, statuses_count:40696, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
