MB147 Q0 318021105094897665 1 8.510438 2013-2013-baseline# TResult(id:318021105094897665, rsv:8.510437965393066, screen_name:ItsZakGodard, epoch:1364657114, text:The Victoria Secret commercials make commercials worth watching., followers_count:623, statuses_count:8101, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 311953260028248064 12 7.859093 2013-2013-baseline# TResult(id:311953260028248064, rsv:7.859092712402344, screen_name:xoAnayaMarie, epoch:1363210427, text:Writing a Victoria's Secret commercial 👌👙💎😌💗💋💄👠😘, followers_count:319, statuses_count:7730, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306950596202737664 13 7.859093 2013-2013-baseline# TResult(id:306950596202737664, rsv:7.859092712402344, screen_name:Alieey, epoch:1362017699, text:Victoria's secret commercials ^O^, followers_count:344, statuses_count:3607, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 318350475424567296 14 7.859093 2013-2013-baseline# TResult(id:318350475424567296, rsv:7.859092712402344, screen_name:Slumerican01, epoch:1364735642, text:That new Victoria Secret commercial 😍😍😍😍, followers_count:140, statuses_count:1438, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308129011073167360 15 7.859093 2013-2013-baseline# TResult(id:308129011073167360, rsv:7.859092712402344, screen_name:Shandelly22, epoch:1362298655, text:Victoria's secret commercial turn me on., followers_count:188, statuses_count:6931, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 307493443997925376 16 7.859093 2013-2013-baseline# TResult(id:307493443997925376, rsv:7.859092712402344, screen_name:aaronblanch3r, epoch:1362147124, text:Great new victoria secret commercial #nowcomesinatripleD, followers_count:107, statuses_count:1158, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298227186287140864 17 7.859093 2013-2013-baseline# TResult(id:298227186287140864, rsv:7.859092712402344, screen_name:WantTheP_earl, epoch:1359937876, text:Where are the Victoria's Secret commercials?, followers_count:70, statuses_count:4867, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298224942321917954 18 7.859093 2013-2013-baseline# TResult(id:298224942321917954, rsv:7.859092712402344, screen_name:ZTetrick, epoch:1359937341, text:Wheres the Victoria secret commercials??, followers_count:198, statuses_count:4256, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 310928289592143872 19 7.859093 2013-2013-baseline# TResult(id:310928289592143872, rsv:7.859092712402344, screen_name:Nickcarder_A7X, epoch:1362966055, text:Victoria Secrets commercials&gt;&gt;😍, followers_count:949, statuses_count:8256, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309146742190907393 20 7.859093 2013-2013-baseline# TResult(id:309146742190907393, rsv:7.859092712402344, screen_name:foodisperf, epoch:1362541301, text:Victoria's Secret commercials bye kms., followers_count:99, statuses_count:3281, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316734166802763777 21 7.855351 2013-2013-baseline# TResult(id:316734166802763777, rsv:7.855350971221924, screen_name:alaina_rc, epoch:1364350284, text:Watches new Victoria's Secret commercial.... *commits suicide*, followers_count:346, statuses_count:30058, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306277544641056768 22 7.855351 2013-2013-baseline# TResult(id:306277544641056768, rsv:7.855350971221924, screen_name:MikeysAirwaves, epoch:1361857231, text:Victorias Secret Commercial is on #Winning #MouthDropsToTheFloorCheck #DroolCheck #BoobsCheck, followers_count:108, statuses_count:4602, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316967596614369280 23 7.855351 2013-2013-baseline# TResult(id:316967596614369280, rsv:7.855350971221924, screen_name:treistayhigh, epoch:1364405938, text:Thank the tv god for Victoria secret commercials, followers_count:120, statuses_count:2665, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316356616553390081 24 7.855351 2013-2013-baseline# TResult(id:316356616553390081, rsv:7.855350971221924, screen_name:Caramel_Rozay, epoch:1364260269, text:Wow that Victoria secret commercial was very sexy!, followers_count:418, statuses_count:37792, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298242004746395648 25 7.855351 2013-2013-baseline# TResult(id:298242004746395648, rsv:7.855350971221924, screen_name:MitzyAmazin, epoch:1359941409, text:Waiting for the Victorias Secret commercial! 😍, followers_count:310, statuses_count:14586, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298234933179211776 26 7.855351 2013-2013-baseline# TResult(id:298234933179211776, rsv:7.855350971221924, screen_name:MyNameAintMegan, epoch:1359939723, text:@SamOBryant there was your victoria secret commercial #hardees, followers_count:170, statuses_count:11534, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317091529900580864 27 7.855351 2013-2013-baseline# TResult(id:317091529900580864, rsv:7.855350971221924, screen_name:Scheidegg55, epoch:1364435486, text:Victoria Secret commercials will never get old. 😍, followers_count:255, statuses_count:4005, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 313886528017416192 28 7.855351 2013-2013-baseline# TResult(id:313886528017416192, rsv:7.855350971221924, screen_name:robinson_calebb, epoch:1363671354, text:Victoria Secret commercial &gt;&gt;, followers_count:128, statuses_count:1021, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298223335903461376 29 7.855351 2013-2013-baseline# TResult(id:298223335903461376, rsv:7.855350971221924, screen_name:Cezartocute23, epoch:1359936958, text:I want to see a Victoria secret commercial doeeee, followers_count:214, statuses_count:11367, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298227572167294977 30 7.855351 2013-2013-baseline# TResult(id:298227572167294977, rsv:7.855350971221924, screen_name:sheribelmylovee, epoch:1359937968, text:The Victoria Secret commercial needs to hurry up. #BestSuperBowlCommercial, followers_count:309, statuses_count:4592, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298225454047961089 31 7.855351 2013-2013-baseline# TResult(id:298225454047961089, rsv:7.855350971221924, screen_name:_AlmostGolden, epoch:1359937463, text:Waiting for some sexy ass Victoria secret commercial..., followers_count:78, statuses_count:11925, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298224380297764866 32 7.855351 2013-2013-baseline# TResult(id:298224380297764866, rsv:7.855350971221924, screen_name:BJones_1, epoch:1359937207, text:Now where the Victoria Secret Commercial at??, followers_count:492, statuses_count:7699, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298224569024663552 33 7.855351 2013-2013-baseline# TResult(id:298224569024663552, rsv:7.855350971221924, screen_name:griffin_good, epoch:1359937252, text:Now they have to do a Victoria's Secret commercial, followers_count:675, statuses_count:1754, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 301092407628423168 34 7.855351 2013-2013-baseline# TResult(id:301092407628423168, rsv:7.855350971221924, screen_name:semi_madman, epoch:1360620998, text:Victoria's Secret Has a New Valentine's Day Commercial http://t.co/qRzK3vQg, followers_count:235, statuses_count:4854, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298255376208506880 35 7.855351 2013-2013-baseline# TResult(id:298255376208506880, rsv:7.855350971221924, screen_name:Zoe_Stringer_, epoch:1359944597, text:Why are there no Victoria's Secret commercials 😓, followers_count:257, statuses_count:1104, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309111044444413953 36 7.855351 2013-2013-baseline# TResult(id:309111044444413953, rsv:7.855350971221924, screen_name:BelleAdoree, epoch:1362532790, text:Victoria's secret commercials make me feel disgusting., followers_count:124, statuses_count:9367, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317688886870552576 37 7.855351 2013-2013-baseline# TResult(id:317688886870552576, rsv:7.855350971221924, screen_name:mattbaker10_, epoch:1364577907, text:I don't blink during Victoria Secret commercials #DontJudgeMe, followers_count:65, statuses_count:3122, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316743331386368001 38 7.848475 2013-2013-baseline# TResult(id:316743331386368001, rsv:7.848474979400635, screen_name:AvonsSuperSwag, epoch:1364352469, text:Victoria's Secret commercials gtfo you make me sad because I'm not pretty, followers_count:4600, statuses_count:9696, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316751392817680384 39 7.848475 2013-2013-baseline# TResult(id:316751392817680384, rsv:7.848474979400635, screen_name:runemileerun, epoch:1364354391, text:Thanks Victoria's Secret commercial. I needed a reminder to go shopping ;), followers_count:417, statuses_count:13780, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316359862915325952 40 7.848475 2013-2013-baseline# TResult(id:316359862915325952, rsv:7.848474979400635, screen_name:Blizzy_OTTW, epoch:1364261043, text:Did Victoria Secret use @TrinidadJamesGG "Females Welcomed" for it's commercial??, followers_count:673, statuses_count:21529, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316359170876125184 41 7.848475 2013-2013-baseline# TResult(id:316359170876125184, rsv:7.848474979400635, screen_name:traverKEEPER, epoch:1364260878, text:@JPadronATL U seen the latest Victoria Secret commercial? lol. Name that tune., followers_count:71, statuses_count:219, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308422746583486464 42 7.848475 2013-2013-baseline# TResult(id:308422746583486464, rsv:7.848474979400635, screen_name:JonConnorIV, epoch:1362368687, text:You can never go wrong with Victoria secret commercials..(;, followers_count:404, statuses_count:21040, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316437554041860096 43 7.848475 2013-2013-baseline# TResult(id:316437554041860096, rsv:7.848474979400635, screen_name:AraceliTheTroll, epoch:1364279566, text:Those Victoria's Secret commercials make me feel like a fat enormous sea cow., followers_count:297, statuses_count:4143, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317481503686815745 44 7.848475 2013-2013-baseline# TResult(id:317481503686815745, rsv:7.848474979400635, screen_name:pizzo_maria, epoch:1364528463, text:My dream is to be in a Victoria secret commercial one day lol #inmydreams #yearight, followers_count:197, statuses_count:3614, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298237403632631810 45 7.848475 2013-2013-baseline# TResult(id:298237403632631810, rsv:7.848474979400635, screen_name:BrandonAlandt, epoch:1359940312, text:Is this the halftime performance or a Victoria's Secret commercial?, followers_count:108, statuses_count:6526, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298277098487955456 46 7.848475 2013-2013-baseline# TResult(id:298277098487955456, rsv:7.848474979400635, screen_name:_raywilson, epoch:1359949776, text:So there was no Victoria's Secret commercial? I was looking forward to the boobies., followers_count:657, statuses_count:41989, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 297219055943839744 47 7.848475 2013-2013-baseline# TResult(id:297219055943839744, rsv:7.848474979400635, screen_name:AbbieDean1, epoch:1359697519, text:watching tv with my dad and then the victoria secret commercial comes on....#AWK, followers_count:131, statuses_count:1648, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 318114105410060289 48 7.848475 2013-2013-baseline# TResult(id:318114105410060289, rsv:7.848474979400635, screen_name:_RichWHORE, epoch:1364679287, text:I hate Victoria's Secret commercials..all those subliminal messages..they aint slick.., followers_count:4254, statuses_count:41013, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316382411522969600 49 7.848475 2013-2013-baseline# TResult(id:316382411522969600, rsv:7.848474979400635, screen_name:annacatherine39, epoch:1364266419, text:Victoria's Secret commercials make me want to be an angel 😇👼, followers_count:757, statuses_count:3417, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308685813347123200 50 7.848475 2013-2013-baseline# TResult(id:308685813347123200, rsv:7.848474979400635, screen_name:kalahmparran, epoch:1362431407, text:I hate Victorias Secret commercials. Especially when I'm eating... #notfair, followers_count:210, statuses_count:2250, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316707855950544896 51 7.848475 2013-2013-baseline# TResult(id:316707855950544896, rsv:7.848474979400635, screen_name:WynterMortz, epoch:1364344011, text:Watching the Victoria's Secret commercial and thinking, "bye bye self confidence." 👋👸, followers_count:301, statuses_count:4185, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 312155832349499392 52 7.848475 2013-2013-baseline# TResult(id:312155832349499392, rsv:7.848474979400635, screen_name:TheMaryWebbery, epoch:1363258724, text:Wes welker got traded to the Super Bowl Victoria's Secret Commercial Adriana Lima, followers_count:0, statuses_count:3448, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306918463664959488 53 7.848475 2013-2013-baseline# TResult(id:306918463664959488, rsv:7.848474979400635, screen_name:anjelclark, epoch:1362010038, text:Victoria's Secret commercials ruin my life . Self esteem GONE!! 👙, followers_count:302, statuses_count:802, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 308452249330405377 54 7.848475 2013-2013-baseline# TResult(id:308452249330405377, rsv:7.848474979400635, screen_name:karnibogh, epoch:1362375721, text:I feel the awkwardness between my parents when a victoria secret commercial comes up, followers_count:89, statuses_count:4445, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298223172346589184 55 7.848475 2013-2013-baseline# TResult(id:298223172346589184, rsv:7.848474979400635, screen_name:Macalusooo, epoch:1359936919, text:Now they need to make a Victoria secret commercial for the guys . . 👏👏👏👍, followers_count:1183, statuses_count:9536, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298223533039951872 56 7.848475 2013-2013-baseline# TResult(id:298223533039951872, rsv:7.848474979400635, screen_name:jefloodiv, epoch:1359937005, text:Really hope there is a Victorias Secret commercial in the next break...#justsaying #SuperBowl, followers_count:476, statuses_count:7954, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298223696634580992 57 7.848475 2013-2013-baseline# TResult(id:298223696634580992, rsv:7.848474979400635, screen_name:mattpro13, epoch:1359937044, text:Can we see the Victoria's Secret version of that Calvin Klein commercial??, followers_count:395, statuses_count:5091, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298228226478723074 58 7.848475 2013-2013-baseline# TResult(id:298228226478723074, rsv:7.848474979400635, screen_name:SlidepieceReece, epoch:1359938124, text:Can we see the Victoria's Secret version of that Calvin Klein commercial?? #SBCommercial #Superbowl, followers_count:426, statuses_count:3207, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298226385196040192 59 7.848475 2013-2013-baseline# TResult(id:298226385196040192, rsv:7.848474979400635, screen_name:LexiTruesdale, epoch:1359937685, text:@ZackEllis9 at least Victoria's Secret commercials come on all year round lol, followers_count:150, statuses_count:232, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317467729609256961 60 7.848475 2013-2013-baseline# TResult(id:317467729609256961, rsv:7.848474979400635, screen_name:unicornloverrr, epoch:1364525179, text:Victoria Secret commercial just came on.. why couldn't I be tall &lt;, followers_count:631, statuses_count:9575, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298301861696503808 61 7.848475 2013-2013-baseline# TResult(id:298301861696503808, rsv:7.848474979400635, screen_name:timm_dan, epoch:1359955680, text:I'm really depressed that I didn't see a single Victorias Secret commercial.., followers_count:174, statuses_count:5148, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 306374974128680961 62 7.848475 2013-2013-baseline# TResult(id:306374974128680961, rsv:7.848474979400635, screen_name:marthamnsm, epoch:1361880460, text:I liked a @YouTube video http://t.co/7gSUmtoEPD Fabulous by Victoria's Secret TV Commercial (Spring 2013), followers_count:138, statuses_count:15102, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298257175543943168 63 7.848475 2013-2013-baseline# TResult(id:298257175543943168, rsv:7.848474979400635, screen_name:kealoha93, epoch:1359945026, text:Did I miss something? Or is Victoria Secret not having a commercial?, followers_count:235, statuses_count:6276, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309119110111961088 64 7.848475 2013-2013-baseline# TResult(id:309119110111961088, rsv:7.848474979400635, screen_name:Linzzzard, epoch:1362534713, text:I think I like the Victoria's Secret commercials more than most guys...., followers_count:302, statuses_count:18041, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309509457191243776 65 7.848475 2013-2013-baseline# TResult(id:309509457191243776, rsv:7.848474979400635, screen_name:swaveypebbles_, epoch:1362627779, text:Victoria's Secret commercials make me feel so shitty about myself., followers_count:916, statuses_count:2527, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316745596289564672 66 7.842641 2013-2013-baseline# TResult(id:316745596289564672, rsv:7.8426408767700195, screen_name:ItsLexisBish, epoch:1364353009, text:😔EVERY TIME  RT @_SerenaSmith: *Victoria Secret commercial comes on tv* 👋😂Goodbye self esteem!, followers_count:630, statuses_count:40130, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 314563098579173376 67 7.842641 2013-2013-baseline# TResult(id:314563098579173376, rsv:7.8426408767700195, screen_name:JusChiChi__, epoch:1363832661, text:Don't be showing me no damn Victoria Secret commercials .... 1/4 of my boob couldn't fit, followers_count:76, statuses_count:10178, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316359598682537984 68 7.842641 2013-2013-baseline# TResult(id:316359598682537984, rsv:7.8426408767700195, screen_name:Matt_Quigs00, epoch:1364260980, text:Victoria secret commercials are 30 seconds of free soft porn...I'm not complaining trust me., followers_count:28, statuses_count:471, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317454651786162176 69 7.842641 2013-2013-baseline# TResult(id:317454651786162176, rsv:7.8426408767700195, screen_name:xoStay_Strongox, epoch:1364522061, text:Just saw a Victoria's Secret commercial.. They're SUPER skinny. I don't think that's healthy... O.o, followers_count:639, statuses_count:12229, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316441337287290880 70 7.842641 2013-2013-baseline# TResult(id:316441337287290880, rsv:7.8426408767700195, screen_name:MPguuurl, epoch:1364280468, text:These Victoria's Secret commercials are great motivation to continue my 1 Almond for Dinner Diet. #imstuffed, followers_count:187, statuses_count:11985, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 301739186086633472 71 7.842641 2013-2013-baseline# TResult(id:301739186086633472, rsv:7.8426408767700195, screen_name:Soletron, epoch:1360775202, text:Candice Swanepoel And A DMC Lamborghini Aventador Star In Michael Bay-Directed Victoria's Secret Commercial: http://t.co/z6TRKtkD, followers_count:17805, statuses_count:12157, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317176720425885696 72 7.842641 2013-2013-baseline# TResult(id:317176720425885696, rsv:7.8426408767700195, screen_name:1Derous1D, epoch:1364455797, text:Whenever a Victoria secret commercial comes on, I randomly go on twitter and just say @Harry_Styles LOVEEEE MEEE., followers_count:693, statuses_count:5248, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
