MB099 Q0 34643181832241154 1 5.818180 2011-2012-baseline# TResult(id:34643181832241154, rsv:5.818179607391357, screen_name:TrendsGoogle, epoch:1297094552, text:superbowl score by quarter, best superbowl commercials 2011, ...: superbowl score by quarter best superbowl commercials 2011 super bo..., followers_count:17, statuses_count:2655, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34317891583090688 2 5.162620 2011-2012-baseline# TResult(id:34317891583090688, rsv:5.162619590759277, screen_name:ChristineStfu, epoch:1297016997, text:Gonna shower then wait for the Superbowl to come on. I just wanna watch the commercials lol. Superbowl commercials are the best/funniest., followers_count:291, statuses_count:44634, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34410313189171200 35 4.530781 2011-2012-baseline# TResult(id:34410313189171200, rsv:4.530781269073486, screen_name:BiebersECBabes, epoch:1297039032, text:If you want to see justin's best buy commercial turn your TV on & watch the superbowl :) The commercial is coming on during the 3rd quarter., followers_count:92, statuses_count:166, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34261694259658752 36 3.940081 2011-2012-baseline# TResult(id:34261694259658752, rsv:3.9400806427001953, screen_name:xbyumsjo, epoch:1297003599, text:Superbowl commercials http://vfkfghqtpwvcmud.co.tv/21855, followers_count:0, statuses_count:159, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34308583961133056 37 3.940081 2011-2012-baseline# TResult(id:34308583961133056, rsv:3.9400806427001953, screen_name:_nicolebitchie, epoch:1297014778, text:SuperBowl commercials&gt;, followers_count:149, statuses_count:6382, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34652662976888833 38 3.940081 2011-2012-baseline# TResult(id:34652662976888833, rsv:3.9400806427001953, screen_name:morsechevrolet, epoch:1297096813, text:2011 Superbowl Commercial http://fb.me/SESFnwXu, followers_count:14, statuses_count:149, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34445689194811392 39 3.940081 2011-2012-baseline# TResult(id:34445689194811392, rsv:3.9400806427001953, screen_name:cristianAcasian, epoch:1297047466, text:haha superbowl commercials lol, followers_count:33, statuses_count:107, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34429626855981058 40 3.940081 2011-2012-baseline# TResult(id:34429626855981058, rsv:3.9400806427001953, screen_name:BossLadyJewels, epoch:1297043637, text:Superbowl commercials,Lol!, followers_count:45, statuses_count:114, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34417468847955968 41 3.940081 2011-2012-baseline# TResult(id:34417468847955968, rsv:3.9400806427001953, screen_name:seanfburke, epoch:1297040738, text:Lovin the SuperBowl commercials, followers_count:44, statuses_count:11, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34397079585431552 42 3.940081 2011-2012-baseline# TResult(id:34397079585431552, rsv:3.9400806427001953, screen_name:beachh_mommma, epoch:1297035877, text:superbowl commercials&lt;3, followers_count:1345, statuses_count:15539, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34397272070430720 43 3.940081 2011-2012-baseline# TResult(id:34397272070430720, rsv:3.9400806427001953, screen_name:Neish_Golightly, epoch:1297035923, text:Superbowl commercials O_O, followers_count:358, statuses_count:17905, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34347668511657984 44 3.940081 2011-2012-baseline# TResult(id:34347668511657984, rsv:3.9400806427001953, screen_name:LaurenLobsterr, epoch:1297024096, text:Superbowl commercials! #excited, followers_count:88, statuses_count:357, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34248980250492928 45 3.939103 2011-2012-baseline# TResult(id:34248980250492928, rsv:3.9391026496887207, screen_name:ManiacCB, epoch:1297000567, text:Superbowl commercials = cracking, followers_count:78, statuses_count:990, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34383333534208000 46 3.939103 2011-2012-baseline# TResult(id:34383333534208000, rsv:3.9391026496887207, screen_name:Commodity101, epoch:1297032600, text:I #love the superbowl commercials, followers_count:143, statuses_count:6287, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34429542177181696 47 3.939103 2011-2012-baseline# TResult(id:34429542177181696, rsv:3.9391026496887207, screen_name:Chrissy_Kidd, epoch:1297043617, text:Superbowl = Dumbass Commercials, followers_count:162, statuses_count:793, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34415825016324096 48 3.939103 2011-2012-baseline# TResult(id:34415825016324096, rsv:3.9391026496887207, screen_name:Starmoon73, epoch:1297040346, text:Superbowl commercials rule!!, followers_count:6, statuses_count:24, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34416858429915136 49 3.939103 2011-2012-baseline# TResult(id:34416858429915136, rsv:3.9391026496887207, screen_name:iamSWISH, epoch:1297040593, text:Bitch these are superbowl commercials, followers_count:574, statuses_count:23016, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34389675279917056 50 3.939103 2011-2012-baseline# TResult(id:34389675279917056, rsv:3.9391026496887207, screen_name:Jebreh800man, epoch:1297034112, text:Ready for these superbowl commercials, followers_count:75, statuses_count:2407, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34397099571286016 51 3.939103 2011-2012-baseline# TResult(id:34397099571286016, rsv:3.9391026496887207, screen_name:VPIsaG, epoch:1297035882, text:Yessss superbowl commercials!!, followers_count:107, statuses_count:2453, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 33560107740565504 52 3.939103 2011-2012-baseline# TResult(id:33560107740565504, rsv:3.9391026496887207, screen_name:HunniJones, epoch:1296836327, text:Superbowl commercials do be entertaining, followers_count:377, statuses_count:15948, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 33721045579988992 53 3.939103 2011-2012-baseline# TResult(id:33721045579988992, rsv:3.9391026496887207, screen_name:GarrettAaronM, epoch:1296874698, text:Lol. Superbowl commercials:p, followers_count:76, statuses_count:2222, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34188460491276288 54 3.937597 2011-2012-baseline# TResult(id:34188460491276288, rsv:3.9375972747802734, screen_name:Rocky_Peacock, epoch:1296986138, text:@iTAYLOREMADE  superbowl commercials are thee best!, followers_count:313, statuses_count:2327, lang:null, in_reply_to_status_id:34188088288743424, in_reply_to_user_id:29338491, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 33741541063393280 55 3.937597 2011-2012-baseline# TResult(id:33741541063393280, rsv:3.9375972747802734, screen_name:Vicky_Secretzz, epoch:1296879584, text:Can't wait to see these superbowl commercials, followers_count:331, statuses_count:14257, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34317858536165376 56 3.937597 2011-2012-baseline# TResult(id:34317858536165376, rsv:3.9375972747802734, screen_name:mckerrydct, epoch:1297016989, text:2011 Volkswagen Superbowl commercial!  http://bit.ly/hOLZpt, followers_count:85, statuses_count:1617, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34607754354098176 57 3.937597 2011-2012-baseline# TResult(id:34607754354098176, rsv:3.9375972747802734, screen_name:PARTYBOIZZ08, epoch:1297086106, text:Looking at all the superbowl commercials, followers_count:683, statuses_count:8909, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34436801254920193 58 3.937597 2011-2012-baseline# TResult(id:34436801254920193, rsv:3.9375972747802734, screen_name:CarmenForACause, epoch:1297045347, text:@rainnwilson @JohnStamos @SofiaVergara BEST SUPERBOWL Commercial, followers_count:206, statuses_count:2634, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34437324460785664 59 3.937597 2011-2012-baseline# TResult(id:34437324460785664, rsv:3.9375972747802734, screen_name:Emuckles, epoch:1297045472, text:Watching the superbowl waiting for the commercials, followers_count:526, statuses_count:285, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34438560073383937 60 3.937597 2011-2012-baseline# TResult(id:34438560073383937, rsv:3.9375972747802734, screen_name:KimL248, epoch:1297045767, text:I'm back!  loving the Superbowl commercials, followers_count:161, statuses_count:169, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34439229392035840 61 3.937597 2011-2012-baseline# TResult(id:34439229392035840, rsv:3.9375972747802734, screen_name:MegKreiDyy, epoch:1297045926, text:No good commercials this superbowl..., followers_count:206, statuses_count:1313, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34431807566909440 62 3.937597 2011-2012-baseline# TResult(id:34431807566909440, rsv:3.9375972747802734, screen_name:ThaKidFrankieD, epoch:1297044157, text:Em made a killin durin superbowl commercials, followers_count:279, statuses_count:10442, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34431816114900992 63 3.937597 2011-2012-baseline# TResult(id:34431816114900992, rsv:3.9375972747802734, screen_name:S_Kabar, epoch:1297044159, text:Em got 2 superbowl commercials..., followers_count:757, statuses_count:5214, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34432044087902208 64 3.937597 2011-2012-baseline# TResult(id:34432044087902208, rsv:3.9375972747802734, screen_name:tony_e_woods, epoch:1297044213, text:Eminem in 2 commercials this Superbowl., followers_count:573, statuses_count:8999, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34418191811739648 65 3.937597 2011-2012-baseline# TResult(id:34418191811739648, rsv:3.9375972747802734, screen_name:djake93, epoch:1297040911, text:I love watching Superbowl commercials!, followers_count:69, statuses_count:7214, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34398656199135233 66 3.937597 2011-2012-baseline# TResult(id:34398656199135233, rsv:3.9375972747802734, screen_name:quinnelk, epoch:1297036253, text:Officially the most homoerotic Superbowl commercial ever, followers_count:1803, statuses_count:6856, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34398727795904512 67 3.937597 2011-2012-baseline# TResult(id:34398727795904512, rsv:3.9375972747802734, screen_name:Cuuppycakeash, epoch:1297036270, text:Superbowl commercials are the Funniest ;p, followers_count:64, statuses_count:5911, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34398730451025920 68 3.937597 2011-2012-baseline# TResult(id:34398730451025920, rsv:3.9375972747802734, screen_name:ash_dud21, epoch:1297036271, text:Lmao I love the Superbowl commercials, followers_count:73, statuses_count:1064, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34398747345559552 69 3.937597 2011-2012-baseline# TResult(id:34398747345559552, rsv:3.9375972747802734, screen_name:KayVTheIcon, epoch:1297036275, text:Gayest Superbowl commercial ever. #doritos, followers_count:178, statuses_count:5850, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34399503599534081 70 3.937597 2011-2012-baseline# TResult(id:34399503599534081, rsv:3.9375972747802734, screen_name:DeMarkoMGage, epoch:1297036455, text:Superbowl commercial are funny! !, followers_count:134, statuses_count:61356, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34399734441451522 71 3.937597 2011-2012-baseline# TResult(id:34399734441451522, rsv:3.9375972747802734, screen_name:DonTouchJusLook, epoch:1297036510, text:Superbowl commercials are the best..., followers_count:105, statuses_count:715, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
