MB128 Q0 304306200781156352 1 5.987014 2013-2013-baseline# TResult(id:304306200781156352, rsv:5.987013816833496, screen_name:amaadius, epoch:1361387226, text:amadius**** Shop online safely and securely on Phoenix Online Clothing:   Phoenixo Online Clothing is an onlin... http://t.co/K7MiKNSQ, followers_count:72, statuses_count:3851, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315640099406766080 12 4.747675 2013-2013-baseline# TResult(id:315640099406766080, rsv:4.747674942016602, screen_name:cashcoming, epoch:1364089438, text:urban clothing: Online urban clothing stores http://t.co/OpN0pjIjPR #Buy_Streetwear_online #SEO #Traffic #Wholesale_skatewear_online, followers_count:1038, statuses_count:481395, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 310317464695214081 13 4.747675 2013-2013-baseline# TResult(id:310317464695214081, rsv:4.747674942016602, screen_name:debbie2002003, epoch:1362820423, text:Psyche | Buy Designer Clothes | Designer Clothing Online http://t.co/AoAfqdimLG, followers_count:126, statuses_count:395, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 301058886750851072 14 4.747675 2013-2013-baseline# TResult(id:301058886750851072, rsv:4.747674942016602, screen_name:cashcoming, epoch:1360613006, text:urban clothing: Online urban clothing stores http://t.co/NdZzUvRF #Buy_Streetwear_online #SEO #Traffic #Wholesale_skatewear_online, followers_count:1037, statuses_count:436837, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 311899937854062592 15 4.747675 2013-2013-baseline# TResult(id:311899937854062592, rsv:4.747674942016602, screen_name:levika07, epoch:1363197714, text:When did Facebook become an online clothing store? Nobody wants your used clothes!, followers_count:165, statuses_count:371, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309300094308610049 16 4.747675 2013-2013-baseline# TResult(id:309300094308610049, rsv:4.747674942016602, screen_name:cashcoming, epoch:1362577863, text:urban clothing: Online urban clothing stores http://t.co/OpN0pjIjPR #Buy_Streetwear_online #SEO #Traffic #Wholesale_skatewear_online, followers_count:1038, statuses_count:462361, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 314606132171767808 17 4.743785 2013-2013-baseline# TResult(id:314606132171767808, rsv:4.743785381317139, screen_name:joeygiggles, epoch:1363842921, text:http://t.co/Waqe96F3a7 is looking for clothing/monetary donations for online clothing store launching in the summer.@Leader_Central #JGF &lt;, followers_count:66182, statuses_count:239191, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 317023959663120384 18 4.743785 2013-2013-baseline# TResult(id:317023959663120384, rsv:4.743785381317139, screen_name:myossm, epoch:1364419376, text:#Shopping #Bargain #Deals Clothing Store shop online #Mens #clothing with ease Our wide selection of men's clothing http://t.co/gj5KnlT8xg, followers_count:3764, statuses_count:54777, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 300436485574885376 19 4.743785 2013-2013-baseline# TResult(id:300436485574885376, rsv:4.743785381317139, screen_name:SuppaQuasha, epoch:1360464614, text:waiting on my clothes to dry. in the meanwhile im finna finish ordering my clothes online, followers_count:415, statuses_count:15976, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299521921798787072 20 4.743785 2013-2013-baseline# TResult(id:299521921798787072, rsv:4.743785381317139, screen_name:Velma_Dinkley, epoch:1360246565, text:i hate shopping online for clothes.. i neex to know my clothes fit perfect before i buy them, followers_count:177, statuses_count:16679, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302168544399982592 21 4.737807 2013-2013-baseline# TResult(id:302168544399982592, rsv:4.737807273864746, screen_name:_wimblekimble, epoch:1360877569, text:bought like 6 new bits of clothing online tonight ahh can't wait to get a whole new wardrobe of clothes :-)))), followers_count:478, statuses_count:28240, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309515706708398081 22 4.737807 2013-2013-baseline# TResult(id:309515706708398081, rsv:4.737807273864746, screen_name:TshirtsCheep, epoch:1362629269, text:Cheap Clothing Stores | clothing shopping online for us only: Are You Looking to buy XOXO Juniors Sheer Front ... http://t.co/92xEeuJD7P, followers_count:888, statuses_count:8650, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 312013385380282368 23 4.737807 2013-2013-baseline# TResult(id:312013385380282368, rsv:4.737807273864746, screen_name:nita46white, epoch:1363224762, text:Motocross Clothing, Dirt Bike Clothing - BTO Sports: Motocross gear, parts and accessories distributor - Onlin... http://t.co/G5wZYDJ5OH, followers_count:1195, statuses_count:9774, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 316929323594551296 24 4.737807 2013-2013-baseline# TResult(id:316929323594551296, rsv:4.737807273864746, screen_name:paulctior, epoch:1364396813, text:Superette | Online Fashion Boutique | Designer clothing, Fashion - Womens Mens designer clothes and. http://t.co/sBZ9dLwLEI, followers_count:2499, statuses_count:5127, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 311876537811099649 25 4.737807 2013-2013-baseline# TResult(id:311876537811099649, rsv:4.737807273864746, screen_name:crazykayla15, epoch:1363192135, text:i can't wait.. i'm getting new CLOTHES. i love online shopping better than going to the stores.. theres more clothes. #CLOTHESS, followers_count:533, statuses_count:7126, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299579333431926784 26 4.737807 2013-2013-baseline# TResult(id:299579333431926784, rsv:4.737807273864746, screen_name:Meg_young98, epoch:1360260253, text:Got carried away with buying clothes online for #magaluf. Cant contain my excitement! Not that ill be wearing any clothes when I'm there..!, followers_count:103, statuses_count:1462, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306849131819827200 27 4.737807 2013-2013-baseline# TResult(id:306849131819827200, rsv:4.737807273864746, screen_name:TheB_DayGirl, epoch:1361993508, text:Photo: Cool Online Find: Pink + Dolphin Spring 2013 Pink + Dolphin Clothing is a up and coming clothing... http://t.co/dwu9gU7WOF, followers_count:246, statuses_count:49, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302651216515719168 28 4.737807 2013-2013-baseline# TResult(id:302651216515719168, rsv:4.737807273864746, screen_name:Mode513, epoch:1360992647, text:Buy trendy clothes and accessories from Korean online clothing stores | Articles Directory - http://t.co/ItSyUZhc: http://t.co/awNXPR4p, followers_count:6, statuses_count:39, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299958636908802049 29 4.737807 2013-2013-baseline# TResult(id:299958636908802049, rsv:4.737807273864746, screen_name:ArjyK, epoch:1360350686, text:@Kidink I need to get my hands on Alumni clothing - and not the online selection mo fucka, your selection of clothes bruhhh. #CantIgnoreMe, followers_count:59, statuses_count:503, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299878651527299072 30 4.737807 2013-2013-baseline# TResult(id:299878651527299072, rsv:4.737807273864746, screen_name:TeresaJarzab, epoch:1360331616, text:Cast out of Monopoly, the clothes iron endures: When online voters nixed the clothes iron token from Hasbro's Mo... http://t.co/Et7yP847, followers_count:200, statuses_count:1413, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 301941494124789760 31 4.707312 2013-2013-baseline# TResult(id:301941494124789760, rsv:4.707311630249023, screen_name:elmarbitiayoub, epoch:1360823436, text:Clothing Online | Fashion Online | Blog Shop - Acmamall Malaysia. http://t.co/NkhhqMEw, followers_count:355, statuses_count:651, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 307797002576621568 32 4.707312 2013-2013-baseline# TResult(id:307797002576621568, rsv:4.707311630249023, screen_name:yassin200, epoch:1362219498, text:Clothing Online | Fashion Online | Blog Shop - Acmamall Malaysia. http://t.co/oHYxUNXRRU, followers_count:234, statuses_count:497, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 302521453134364672 33 4.703422 2013-2013-baseline# TResult(id:302521453134364672, rsv:4.7034220695495605, screen_name:melsclothing1, epoch:1360961709, text:Shop online at your own convenience, from clothing to toys, order online today!!, followers_count:0, statuses_count:357, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308264965255598081 34 4.703422 2013-2013-baseline# TResult(id:308264965255598081, rsv:4.7034220695495605, screen_name:RayychellNelson, epoch:1362331069, text:Most girls online shop for clothes and phone cases, I online shop for hairless cats and puppies 😂, followers_count:122, statuses_count:13822, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 314561253081223168 35 4.697444 2013-2013-baseline# TResult(id:314561253081223168, rsv:4.697443962097168, screen_name:mirjanaa25, epoch:1363832221, text:@machamavrak :) mama like it too she usually doesn't like my choice of clothing. but its online and im kind of sceptical of online shopping, followers_count:187, statuses_count:5209, lang:null, in_reply_to_status_id:314560217981546499, in_reply_to_user_id:103103303, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299682605589225472 36 4.697444 2013-2013-baseline# TResult(id:299682605589225472, rsv:4.697443962097168, screen_name:Sydneyyy5, epoch:1360284875, text:When I say "online shopping" I mean going online looking at clothes I wish I had with money I wish I had 👌, followers_count:1657, statuses_count:6868, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315235030278492163 37 4.697444 2013-2013-baseline# TResult(id:315235030278492163, rsv:4.697443962097168, screen_name:FollowMeMaybeJB, epoch:1363992862, text:"@ComedyAndTruth: do you ever just look at clothes online and cry" do you ever look at justin bieber online and cry?, followers_count:1695, statuses_count:5437, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 314441220514512897 38 4.697444 2013-2013-baseline# TResult(id:314441220514512897, rsv:4.697443962097168, screen_name:tiwariwarrior, epoch:1363803603, text:Online Shopping India - Shop Online for Branded Shoes, Clothing &amp; Accessories in India | http://t.co/qHd5NQFWYC http://t.co/cOCcivPHDI, followers_count:14, statuses_count:221, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 314677951205605376 39 4.697444 2013-2013-baseline# TResult(id:314677951205605376, rsv:4.697443962097168, screen_name:PlushMaison, epoch:1363860044, text:Men's online shopping has exploded and here are some awesome links! 80+ Best Online Clothes Shopping For Men http://t.co/KfNG0FASlw, followers_count:202, statuses_count:481, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309724734050951169 40 4.697444 2013-2013-baseline# TResult(id:309724734050951169, rsv:4.697443962097168, screen_name:bixbxr, epoch:1362679105, text:i didnt know u were online omg — i just came online now i bought more clothes and perfected my believe tour outf... http://t.co/o7FvA9O7kT, followers_count:39, statuses_count:1672, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315501754483613696 41 4.149264 2013-2013-baseline# TResult(id:315501754483613696, rsv:4.149263858795166, screen_name:Md__Irfan, epoch:1364056454, text:You're... Online Online Online Online Online Online Online Online Online Online Online Online Online *Last seen* Eh cb, where my reply?, followers_count:380, statuses_count:8231, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 307702462939291648 42 4.112999 2013-2013-baseline# TResult(id:307702462939291648, rsv:4.112999439239502, screen_name:Clyd3Clyde, epoch:1362196958, text:Sexy clothes online http://t.co/KuI8RiefKw, followers_count:23, statuses_count:36, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308325782663610369 43 4.112999 2013-2013-baseline# TResult(id:308325782663610369, rsv:4.112999439239502, screen_name:ElenAgger, epoch:1362345569, text:Love ordering clothes online, followers_count:456, statuses_count:6212, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309626734125408256 44 4.112999 2013-2013-baseline# TResult(id:309626734125408256, rsv:4.112999439239502, screen_name:RichardOwens16, epoch:1362655740, text:Sexy clothes online http://t.co/rfMICQ5FxX, followers_count:22, statuses_count:101, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 313000028312580097 45 4.112999 2013-2013-baseline# TResult(id:313000028312580097, rsv:4.112999439239502, screen_name:berarreie, epoch:1363459996, text:Sexy online clothing http://t.co/NCLCaxjDaR, followers_count:21, statuses_count:10, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 313205842797281280 46 4.112999 2013-2013-baseline# TResult(id:313205842797281280, rsv:4.112999439239502, screen_name:TedGSullivan, epoch:1363509066, text:Sexy clothes online http://t.co/LlMpudEZqE, followers_count:22, statuses_count:61, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 304042806895337472 47 4.112021 2013-2013-baseline# TResult(id:304042806895337472, rsv:4.112021446228027, screen_name:royalmice, epoch:1361324428, text:Shopping Online For Clothing http://t.co/RtUMxRfh, followers_count:5740, statuses_count:61408, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 311580910694838273 48 4.110516 2013-2013-baseline# TResult(id:311580910694838273, rsv:4.11051607131958, screen_name:LVOEMARILYN, epoch:1363121652, text:Buying clothes online &lt;3, followers_count:537, statuses_count:3412, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 303896455037476867 49 4.110516 2013-2013-baseline# TResult(id:303896455037476867, rsv:4.11051607131958, screen_name:DreamsNostalgic, epoch:1361289535, text:Already online shopping for summer clothes O.o, followers_count:79, statuses_count:579, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 301846644155105280 50 4.110516 2013-2013-baseline# TResult(id:301846644155105280, rsv:4.11051607131958, screen_name:luvin_mybraya, epoch:1360800822, text:Online shopping for my baby spring clothes, followers_count:174, statuses_count:1999, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 311948117803147264 51 4.110516 2013-2013-baseline# TResult(id:311948117803147264, rsv:4.11051607131958, screen_name:_aimeerichmond, epoch:1363209201, text:I just wanna buy clothes constantly online, followers_count:798, statuses_count:8123, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315892453901230081 52 4.110516 2013-2013-baseline# TResult(id:315892453901230081, rsv:4.11051607131958, screen_name:DannyM1995, epoch:1364149604, text:looking at clothes I can't afford online, followers_count:371, statuses_count:6800, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309018186769125376 53 4.110516 2013-2013-baseline# TResult(id:309018186769125376, rsv:4.11051607131958, screen_name:YulexisRi, epoch:1362510651, text:#987GiveMeDemiLovato Amidra Amidra Online Clothing Store http://t.co/kT45vES8Hh, followers_count:114, statuses_count:46, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 312323076014628864 54 4.110516 2013-2013-baseline# TResult(id:312323076014628864, rsv:4.11051607131958, screen_name:Hunteer_Morgann, epoch:1363298598, text:Online shopping for spring clothes 😍☀, followers_count:322, statuses_count:4583, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 300343363654283265 55 4.110516 2013-2013-baseline# TResult(id:300343363654283265, rsv:4.11051607131958, screen_name:Gemini_Hunnie, epoch:1360442412, text:Tryin to search for clothes online, followers_count:86, statuses_count:1549, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 298671694439141376 56 4.110516 2013-2013-baseline# TResult(id:298671694439141376, rsv:4.11051607131958, screen_name:hollowsins, epoch:1360043855, text:http://t.co/iZCGBveP $100 Clothing Shop Online GC, followers_count:2029, statuses_count:2057, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 313059964899979264 57 4.110516 2013-2013-baseline# TResult(id:313059964899979264, rsv:4.11051607131958, screen_name:emieerayann, epoch:1363474286, text:online shopping for summer clothes.. #Boring, followers_count:362, statuses_count:8011, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306348931678351360 58 4.110516 2013-2013-baseline# TResult(id:306348931678351360, rsv:4.11051607131958, screen_name:familiabat_2010, epoch:1361874251, text:Handbags Amidra Online Clothing Store http://t.co/SasKVASYBi, followers_count:304, statuses_count:360, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306351699919003648 59 4.110516 2013-2013-baseline# TResult(id:306351699919003648, rsv:4.11051607131958, screen_name:syllaaaa, epoch:1361874911, text:Handbags Amidra Online Clothing Store http://t.co/tGRnubzYYa, followers_count:315, statuses_count:315, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306356519178469376 60 4.110516 2013-2013-baseline# TResult(id:306356519178469376, rsv:4.11051607131958, screen_name:princesscarmen1, epoch:1361876060, text:Amidra Amidra Online Clothing Store http://t.co/OmMg0XIr6j, followers_count:306, statuses_count:183, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 315197168317263872 61 4.110516 2013-2013-baseline# TResult(id:315197168317263872, rsv:4.11051607131958, screen_name:_myOWNthang, epoch:1363983835, text:finna look online at spring clothes ..., followers_count:640, statuses_count:25826, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 305029164581404673 62 4.110516 2013-2013-baseline# TResult(id:305029164581404673, rsv:4.11051607131958, screen_name:TaylorArnt, epoch:1361559594, text:Online clothes shopping &gt;, followers_count:244, statuses_count:1305, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 305046705156530176 63 4.110516 2013-2013-baseline# TResult(id:305046705156530176, rsv:4.11051607131958, screen_name:ConsignorCity, epoch:1361563776, text:Buying used children's clothes online http://t.co/bhpQ2ss3MH, followers_count:2001, statuses_count:452, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 314825544577470465 64 4.110516 2013-2013-baseline# TResult(id:314825544577470465, rsv:4.11051607131958, screen_name:George_G4, epoch:1363895233, text:Love a bit of clothes shopping online, followers_count:143, statuses_count:717, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309015166882824194 65 4.110516 2013-2013-baseline# TResult(id:309015166882824194, rsv:4.11051607131958, screen_name:_eagle742, epoch:1362509931, text:#987GiveMeDemiLovato Amidra Amidra Online Clothing Store http://t.co/flrPED50nr, followers_count:247, statuses_count:68, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 298977010401804289 66 4.110516 2013-2013-baseline# TResult(id:298977010401804289, rsv:4.11051607131958, screen_name:morgann_hartman, epoch:1360116648, text:Oh the thrill of ordering clothes online, followers_count:162, statuses_count:862, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 309115096158846977 67 4.110516 2013-2013-baseline# TResult(id:309115096158846977, rsv:4.11051607131958, screen_name:1nameeman, epoch:1362533756, text:Amidra Amidra Online Clothing Store http://t.co/IkIdlVTuVd, followers_count:265, statuses_count:252, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308808702264233984 68 4.110516 2013-2013-baseline# TResult(id:308808702264233984, rsv:4.11051607131958, screen_name:_BeLikeMir, epoch:1362460706, text:online shopping for some spring clothes, followers_count:238, statuses_count:12137, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
